Tier,Name,Affiliation,Relevance,Why They Matter
5,Ethan Perez,Anthropic,Red-teaming and model-written evaluations,Systematic safety evaluation - gradient-free attacks are a new evaluation tool
5,Samuel Bowman,Anthropic,Safety evaluation and alignment benchmarks,Alignment evaluation expert - your attack methodology is a new benchmark dimension
5,Jacob Steinhardt,UC Berkeley,AI safety and adversarial robustness theory,Theoretical safety - could help formalize your co-evolutionary guarantees
5,Paul Christiano,Alignment Research Center,Alignment theory and RLHF foundations,Foundational alignment thinker - your work challenges RLHF assumptions
5,Tomek Korbak,Independent,RLHF alternatives and alignment training,Alternative alignment methods - your attacks test robustness across approaches
5,Rafael Rafailov,Stanford,DPO author,Created DPO which is used in Llama alignment - would want to know about vulnerabilities
6,Mengnan Du,New Jersey Institute of Technology,SAE survey lead author,Academic perspective on SAE applications - your safety application is novel
6,Erik Jenner,Goodfire,SAE deployment for Llama steering,Practical SAE deployment - your attack analysis is a new use case for their tools
6,Lukas Berglund,Independent,Reversal curse and model knowledge,Model knowledge limitations connect to how attacks exploit internal representations
6,Jason Wei,OpenAI,Chain-of-thought and emergent abilities,Emergent model behaviors - safety as an emergent property that can be disrupted
6,David Bau,Northeastern University,Representation engineering and model editing,Model editing connects to your LoRA weight-space perturbation approach
